2026-03-26 16:56:56,382 - WARNING - 550973 | HH SSH000059 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,383 - WARNING - 550973 | HH SSH000060 | Parents [30, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,384 - WARNING - 550973 | HH SSH000061 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,384 - WARNING - 550973 | HH SSH000062 | Parents [25, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,384 - WARNING - 550973 | HH SSH000063 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,386 - WARNING - 550973 | HH SSH000064 | Parents [30, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,386 - WARNING - 550973 | HH SSH000065 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,390 - WARNING - 550973 | HH SSH000066 | Parents [28, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,390 - WARNING - 550973 | HH SSH000067 | Parents [25, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,391 - WARNING - 550973 | HH SSH000068 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,391 - WARNING - 550973 | HH SSH000069 | Parents [27, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,392 - WARNING - 550973 | HH SSH000070 | Parents [28, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,393 - WARNING - 550973 | HH SSH000071 | Parents [27, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,394 - WARNING - 550973 | HH SSH000072 | Parents [29, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,394 - WARNING - 550973 | HH SSH000073 | Parents [31, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,394 - WARNING - 550973 | HH SSH000074 | Parents [31, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000075 | Parents [30, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000076 | Parents [27, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000077 | Parents [34, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000078 | Parents [32, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000079 | Parents [34, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,395 - WARNING - 550973 | HH SSH000080 | Parents [31, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,398 - WARNING - 550973 | HH SSH000081 | Parents [30, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,398 - WARNING - 550973 | HH SSH000082 | Parents [31, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,398 - WARNING - 550973 | HH SSH000083 | Parents [30, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,399 - WARNING - 550973 | HH SSH000084 | Parents [31, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,399 - WARNING - 550973 | HH SSH000085 | Parents [29, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,400 - WARNING - 550973 | HH SSH000086 | Parents [29, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,400 - WARNING - 550973 | HH SSH000087 | Parents [29, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,402 - WARNING - 550973 | HH SSH000088 | Parents [29, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,404 - WARNING - 550973 | HH SSH000089 | Parents [31, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,404 - WARNING - 550973 | HH SSH000090 | Parents [26, 33] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,406 - WARNING - 550973 | HH SSH000091 | Parents [28, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,407 - WARNING - 550973 | HH SSH000092 | Parents [29, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,407 - WARNING - 550973 | HH SSH000093 | Parents [30, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,408 - WARNING - 550973 | HH SSH000094 | Parents [31, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,408 - WARNING - 550973 | HH SSH000095 | Parents [32, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,409 - WARNING - 550973 | HH SSH000096 | Parents [35, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,409 - WARNING - 550973 | HH SSH000097 | Parents [26, 33] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,410 - WARNING - 550973 | HH SSH000098 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,410 - WARNING - 550973 | HH SSH000099 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,410 - WARNING - 550973 | HH SSH000100 | Parents [26, 33] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
