"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Vrouwen";"20 tot 25 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8151
"Vrouwen";"25 tot 30 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7975
"Vrouwen";"25 tot 30 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4908
"Vrouwen";"25 tot 30 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8648
"Vrouwen";"30 tot 35 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7238
"Vrouwen";"30 tot 35 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4792
"Vrouwen";"30 tot 35 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8895
"Vrouwen";"35 tot 40 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6953
"Vrouwen";"35 tot 40 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4689
"Vrouwen";"35 tot 40 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8531
"Vrouwen";"40 tot 45 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7042
"Vrouwen";"40 tot 45 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4400
"Vrouwen";"40 tot 45 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7284
"Vrouwen";"45 tot 50 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8792
"Vrouwen";"45 tot 50 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3915
"Vrouwen";"45 tot 50 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7131
"Vrouwen";"50 tot 55 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8631
"Vrouwen";"50 tot 55 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3213
"Vrouwen";"50 tot 55 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6051
"Vrouwen";"55 tot 60 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8498
"Vrouwen";"55 tot 60 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2552
"Vrouwen";"55 tot 60 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";5267
"Vrouwen";"60 tot 65 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8060
"Vrouwen";"60 tot 65 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2100
"Vrouwen";"60 tot 65 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3971
"Vrouwen";"65 tot 70 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7585
"Vrouwen";"65 tot 70 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1831
"Vrouwen";"65 tot 70 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2916
"Vrouwen";"70 tot 75 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7841
"Vrouwen";"70 tot 75 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1558
"Vrouwen";"70 tot 75 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1762
"Vrouwen";"75 tot 80 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";5056
