"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";31
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";19
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";19
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";36
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";32
"Mannen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";11
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";67
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";130
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";44
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";155
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";145
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";63
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";195
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";122
"Mannen";"55 tot 65 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";12
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";5
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";9
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";3
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";14
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";7
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";5
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";11
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";16
"Mannen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";2
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";19
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";12
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";5
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";25
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";10
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";11
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";38
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";27
